Wall time,Step,Value
1759284332.964175,258050,1192.6748046875
1759284333.18226,258300,1236.9906005859375
1759284334.148563,259150,1416.987548828125
1759284334.9912589,260050,1646.54296875
1759284335.4447,260450,1730.5814208984375
1759284336.615438,261600,1982.5562744140625
1759284336.8077388,261800,2026.939453125
1759284337.084262,262000,2068.16015625
1759284337.1296551,262050,2068.16015625
1759284338.42303,263350,2304.638427734375
1759284339.5375931,264500,2474.074951171875
1759284341.039912,265950,2767.708740234375
1759284341.610023,266500,2874.679931640625
1759284342.3901608,267300,3034.701171875
1759284343.123415,268000,3199.70751953125
1759284343.188021,268050,3199.70751953125
1759284344.251179,269050,3333.958251953125
1759284345.421855,270250,3495.24853515625
1759284346.2790568,271050,3594.58837890625
1759284347.1966221,272000,3728.12060546875
1759284347.32422,272150,3728.12060546875
1759284347.557895,272400,3782.06884765625
1759284349.501344,274250,4116.49951171875
1759284349.824498,274600,4202.57275390625
1759284350.0092218,274800,4248.97119140625
1759284350.3473501,275100,4293.640625
1759284350.631708,275400,4312.6748046875
1759284350.911785,275650,4315.90283203125
1759284351.036575,275800,4323.83251953125
1759284351.114971,275900,4323.83251953125
1759284352.368271,277100,4348.31689453125
1759284352.8170629,277500,4347.5244140625
1759284353.61709,278350,4345.56884765625
1759284353.85141,278600,4347.13525390625
1759284353.9787688,278700,4347.13525390625
1759284354.644555,279300,4348.20654296875
1759284354.739199,279400,4344.658203125
1759284354.9750102,279700,4346.52001953125
1759284355.687732,280300,4346.17919921875
1759284355.997826,280550,4348.2900390625
1759284356.4067042,281050,4355.615234375
1759284356.9177668,281550,4361.677734375
1759284358.3054452,282950,4371.98046875
1759284358.3849442,283050,4371.51025390625
1759284358.631595,283250,4375.53564453125
1759284359.426281,284000,4377.421875
1759284361.568126,286050,4396.08544921875
1759284361.7384572,286200,4407.16552734375
1759284362.585598,287100,4429.91650390625
1759284363.446811,288000,4433.81591796875
1759284364.3787699,288850,4436.681640625
1759284364.4968488,289000,4431.255859375
1759284364.741208,289250,4432.962890625
1759284365.0107892,289500,4433.79052734375
1759284365.854327,290400,4428.55810546875
1759284365.901818,290450,4428.55810546875
1759284366.8081899,291300,4434.603515625
1759284366.93456,291450,4434.72509765625
1759284367.326451,291800,4439.0263671875
1759284368.653754,293150,4437.05029296875
1759284368.762388,293250,4436.7607421875
1759284369.093605,293600,4440.57958984375
1759284370.018322,294500,4433.41162109375
1759284370.522479,294950,4427.34033203125
1759284370.889098,295400,4426.67724609375
1759284371.2906728,295900,4426.896484375
1759284371.745484,296450,4419.06103515625
1759284371.898942,296650,4417.8505859375
1759284371.93739,296700,4417.8505859375
1759284372.677869,297650,4417.4482421875
1759284373.032304,297900,4418.6015625
1759284373.118946,298000,4419.146484375
1759284373.364892,298200,4417.296875
1759284373.8463879,298650,4418.65087890625
1759284374.7687612,299550,4420.04931640625
1759284375.670839,300550,4412.78759765625
1759284375.8650181,300800,4407.83740234375
1759284376.3339908,301250,4406.3984375
1759284376.5879612,301550,4403.892578125
1759284376.626015,301600,4402.22314453125
1759284376.857007,301800,4400.0556640625
1759284377.0311208,301950,4400.0556640625
1759284378.190623,303050,4397.59765625
1759284379.054296,303950,4396.04248046875
1759284379.279213,304150,4397.5859375
1759284379.547914,304400,4393.14453125
1759284380.292257,305200,4395.9072265625
1759284380.375254,305300,4395.9072265625
1759284380.8905191,305800,4391.40673828125
1759284381.276356,306100,4392.2802734375
1759284381.370485,306200,4391.38818359375
1759284381.6458821,306500,4392.73046875
1759284381.772929,306600,4390.65478515625
1759284381.88309,306700,4390.65478515625
1759284382.423509,307300,4387.775390625
1759284382.545703,307400,4384.861328125
1759284382.6499681,307500,4384.861328125
1759284383.798924,308650,4377.5029296875
1759284384.217479,309100,4379.669921875
1759284384.4091148,309250,4380.556640625
1759284385.2140532,310050,4383.06005859375
1759284385.791303,310600,4392.51806640625
1759284385.892843,310700,4392.51806640625
1759284386.2407732,311000,4388.61181640625
1759284386.765517,311650,4386.50732421875
1759284386.956084,311900,4385.14404296875
1759284387.283496,312250,4384.60546875
1759284387.639433,312550,4384.70458984375
1759284388.155123,313200,4389.57373046875
1759284389.222933,314500,4392.45166015625
1759284390.11553,315650,4388.71875
1759284390.271431,315850,4389.00634765625
1759284390.3097448,315900,4389.00634765625
1759284390.576687,316250,4388.1083984375
1759284391.235633,317100,4399.47412109375
1759284391.665866,317650,4395.25634765625
1759284392.095063,318200,4393.65625
1759284392.364228,318550,4389.57421875
1759284392.595276,318850,4386.6650390625
1759284393.514234,320050,4384.63525390625
1759284395.649612,322800,4383.56884765625
1759284395.8199801,323000,4383.4970703125
1759284396.384576,323650,4377.30224609375
1759284396.9861372,324400,4380.3427734375
1759284397.289927,324800,4380.11474609375
1759284397.3285718,324850,4380.11474609375
1759284397.49967,325050,4382.0830078125
1759284397.956455,325550,4387.728515625
1759284398.370273,326050,4384.21484375
1759284398.411586,326100,4384.21484375
1759284398.45369,326150,4384.21484375
1759284398.781697,326550,4383.73779296875
1759284399.5583081,327550,4387.9228515625
1759284400.512279,328750,4389.51171875
1759284400.794178,329100,4387.76611328125
1759284400.9165282,329250,4387.84814453125
1759284401.3829172,329750,4390.40185546875
1759284401.7452888,330200,4382.970703125
1759284401.863615,330350,4382.970703125
1759284402.262528,330850,4375.71826171875
1759284402.4638562,331100,4371.94140625
1759284404.040168,332900,4372.85888671875
1759284404.4005408,333350,4369.3427734375
1759284404.477685,333450,4366.888671875
1759284404.700951,333650,4364.55615234375
1759284404.9708228,333950,4360.7294921875
1759284405.095086,334100,4361.84228515625
1759284405.387111,334450,4362.92578125
1759284405.735005,334850,4362.7158203125
1759284405.864991,335000,4368.8134765625
1759284406.2790139,335400,4370.19970703125
1759284406.4856699,335600,4374.20556640625
1759284406.66475,335800,4374.70556640625
1759284407.6339378,336950,4379.595703125
1759284407.7903721,337150,4371.552734375
1759284408.073502,337500,4373.20458984375
1759284408.239829,337700,4373.37841796875
1759284408.696457,338250,4372.95849609375
1759284409.202531,338850,4375.12451171875
1759284409.884363,339650,4377.2939453125
1759284410.9339,340900,4378.5380859375
1759284411.529601,341650,4387.57763671875
1759284412.110385,342350,4393.5419921875
1759284412.445081,342750,4395.703125
1759284412.778435,343150,4394.875
1759284413.030439,343450,4395.5546875
1759284413.075683,343500,4395.5546875
1759284414.267592,344800,4392.99072265625
1759284414.811661,345500,4389.2109375
1759284415.785932,346750,4399.93505859375
1759284416.52789,347600,4395.05615234375
1759284416.991978,348200,4395.5
1759284417.117152,348350,4395.5
1759284417.349439,348650,4398.0302734375
1759284418.0474749,349550,4401.986328125
1759284418.126577,349650,4400.1826171875
1759284418.854184,350550,4400.62939453125
1759284419.0142238,350750,4404.00732421875
1759284419.91388,351800,4404.130859375
1759284420.0862238,352000,4404.140625
1759284420.369715,352350,4403.56689453125
1759284420.880357,353000,4410.990234375
1759284421.1150138,353300,4414.2607421875
1759284421.89342,354000,4422.27587890625
1759284422.4546618,354600,4411.40576171875
1759284423.0692868,355350,4407.548828125
1759284423.402226,355750,4404.7626953125
1759284423.4411478,355800,4403.55078125
1759284424.4052851,356900,4406.787109375
1759284424.559267,357100,4410.4677734375
1759284425.157025,357800,4404.98046875
1759284425.6747231,358400,4405.42236328125
1759284425.714824,358450,4405.42236328125
1759284426.0256069,358800,4405.7880859375
1759284426.5937011,359500,4405.07080078125
1759284426.843034,359800,4403.517578125
1759284427.115134,360150,4407.5859375
1759284427.193623,360250,4405.99365234375
1759284427.542751,360700,4406.927734375
1759284427.626039,360800,4406.064453125
1759284427.671956,360850,4406.064453125
1759284428.636116,361800,4400.90869140625
1759284428.754168,361950,4400.90869140625
1759284429.102777,362400,4394.2119140625
1759284429.61456,363050,4397.291015625
1759284430.9948359,364250,4396.60888671875
1759284431.755145,365050,4395.83837890625
1759284432.185733,365600,4403.73583984375
